x_feature,count
x7,46149
x10,34800
x9,30072
x11,28443
x6,27528
x163,27110
x32,26551
x8,25859
x16,24386
x18,22193
x30,21076
x176,18963
x22,16197
x3,16185
x199,15927
x12,15729
x170,15580
x5,14868
x121,14711
x95,14599
x14,14526
x21,14088
x105,14082
x13,13975
x4,13605
x31,13603
x17,13403
x29,13376
x186,13285
x43,13012
x1,12830
x19,12595
x167,12579
x15,12418
x59,12350
x25,12176
x20,11629
x146,11605
x158,11521
x154,11182
x60,10801
x55,9724
x96,9714
x87,9584
x37,9128
x49,8470
x207,8262
x74,8113
x73,8020
x33,7789
x64,7722
x2,7546
x65,7293
x24,7119
x203,6639
x182,6478
x123,6261
x142,6181
x83,6177
x239,6103
x62,6002
x183,5795
x69,5486
x101,5182
x192,5083
x42,4914
x66,4894
x181,4738
x198,4572
x114,4443
x247,4288
x84,4163
x47,4129
x191,4074
x139,3945
x124,3919
x125,3895
x138,3742
x258,3695
x113,3677
x250,3535
x131,3474
x137,3402
x175,3290
x78,3260
x36,3260
x97,3249
x58,3202
x72,3029
x52,2805
x178,2748
x88,2673
x257,2585
x76,2518
x173,2430
x227,2324
x104,2306
x153,2289
x253,2189
x38,2140
x89,2113
x34,2008
x136,1908
x317,1849
x168,1812
x35,1805
x304,1755
x174,1644
x161,1565
x68,1555
x214,1517
x208,1488
x265,1469
x23,1419
x240,1404
x26,1359
x190,1316
x206,1313
x140,1258
x80,1257
x63,1230
x404,1195
x41,1146
x273,1064
x39,1060
x248,1053
x272,992
x216,955
x177,932
x54,923
x100,859
x61,620
x28,550
x81,532
x281,520
x234,487
x75,476
x274,468
x224,435
x255,430
x196,430
x53,430
x244,429
x320,419
x230,412
x197,402
x211,393
x169,393
x215,392
x179,392
x82,392
