x_ngram,count
x25_x8_x95,7
x9_x26_x143,7
x10_x10_x355,6
x137_x114_x206,6
x161_x114_x101,6
x101_x95_x146,5
x10_x355_x470,5
x142_x206_x24,5
x143_x131_x170,5
x17_x170_x137,5
x17_x191_x52,5
