x_ngram,file_count
x15_x5_x21,47
x5_x21_x65,52
x31_x32_x10,58
x56_x57_x7,29
x10_x55_x59,40
x10_x55_x56,29
x55_x59_x60,34
x57_x7_x7,30
x55_x56_x57,29
x32_x10_x55,29
x60_x6_x7,34
x7_x7_x16,58
x9_x10_x10,58
x9_x10_x55,47
x59_x60_x6,34
x16_x31_x32,58
x10_x10_x11,48
x7_x16_x31,58
x8_x5_x21,9
x13_x8_x5,46
x9_x11_x3,72
x10_x12_x13,64
x9_x10_x12,36
x8_x5_x3,43
x32_x10_x10,33
x10_x11_x1,5
x11_x1_x2,5
x15_x9_x10,79
x5_x1_x136,5
x136_x13_x7,5
x9_x355_x470,1
x10_x10_x12,39
x354_x112_x13,1
x1_x136_x13,5
x10_x10_x10,10
x355_x470_x141,2
x8_x9_x355,1
x12_x13_x16,5
x9_x12_x15,53
x470_x141_x16,1
x8_x5_x1,5
x12_x15_x14,15
x410_x354_x112,1
x16_x410_x354,1
x141_x16_x410,1
x112_x13_x7,1
x6_x7_x8,41
x3_x6_x8,83
x6_x8_x14,84
x12_x15_x9,48
x229_x230_x37,6
x37_x7_x7,14
x230_x37_x7,6
x25_x7_x7,9
x10_x10_x26,8
x10_x26_x114,5
x26_x114_x25,5
x114_x25_x7,5
x10_x55_x231,7
x55_x59_x245,2
x55_x231_x311,7
x311_x25_x7,7
x231_x311_x25,7
x15_x14_x134,1
x7_x8_x118,1
x375_x25_x8,1
x18_x8_x14,5
x5_x3_x4,8
x8_x14_x134,2
x8_x118_x356,1
x116_x117_x14,1
x117_x9_x10,2
x11_x3_x4,5
x356_x375_x25,1
x116_x117_x9,2
x3_x4_x14,7
x117_x14_x15,1
x4_x14_x13,6
x14_x134_x116,2
x134_x116_x117,2
x25_x8_x5,2
x118_x356_x375,1
x10_x12_x15,11
x125_x13_x7,5
x224_x389_x125,3
x389_x125_x13,3
x10_x55_x224,12
x55_x224_x389,4
x35_x228_x229,3
x10_x35_x228,3
x228_x229_x229,2
x10_x10_x35,7
x18_x7_x7,23
x229_x229_x229,6
x170_x14_x13,5
x20_x6_x7,6
x14_x113_x20,5
x4_x9_x10,5
x113_x20_x6,5
x348_x431_x170,1
x15_x14_x113,5
x431_x170_x14,1
x3_x4_x9,5
x34_x18_x7,8
x55_x59_x281,5
x281_x34_x18,4
x59_x281_x34,4
x10_x105_x96,9
x105_x96_x18,8
x10_x10_x105,10
x96_x18_x7,9
x262_x263_x141,1
x25_x16_x176,1
x375_x25_x16,1
x10_x11_x352,3
x55_x56_x298,1
x263_x141_x7,1
x352_x108_x375,1
x11_x352_x108,1
x108_x375_x25,1
x163_x262_x263,1
x16_x176_x163,5
x141_x7_x7,4
x176_x163_x262,1
x12_x134_x399,1
x263_x141_x8,1
x141_x8_x14,1
x399_x349_x263,1
x134_x399_x349,1
x4_x14_x15,6
x9_x12_x134,1
x349_x263_x141,1
x131_x18_x7,7
x123_x131_x18,5
x11_x3_x61,5
x3_x61_x123,1
x61_x123_x131,1
x17_x170_x137,4
x64_x106_x78,4
x101_x95_x154,4
x9_x10_x35,4
x4_x9_x11,4
x299_x280_x21,4
x52_x73_x72,4
x220_x350_x18,4
x173_x37_x8,4
x273_x481_x17,2
x16_x52_x53,4
x31_x32_x35,4
x253_x61_x24,4
x83_x211_x545,1
x26_x140_x92,4
x121_x18_x8,4
x121_x18_x7,6
x84_x299_x280,4
x16_x17_x122,4
x139_x114_x103,4
x207_x198_x124,4
x296_x57_x8,4
x190_x17_x191,2
x17_x18_x30,4
x15_x5_x1,4
x299_x280_x3,4
x7_x247_x248,4
x78_x302_x168,4
x281_x250_x125,2
x199_x142_x54,4
x271_x248_x177,4
x22_x6_x7,4
x57_x19_x20,4
x121_x191_x176,4
x249_x13_x7,4
x4_x14_x113,4
x37_x16_x17,4
x183_x301_x253,4
x206_x24_x54,4
x13_x8_x95,4
x31_x192_x21,1
x56_x527_x248,4
x159_x160_x152,4
x168_x121_x18,4
x155_x156_x189,4
x17_x170_x47,4
x161_x138_x164,4
x18_x16_x176,4
x121_x18_x16,4
x302_x168_x186,4
x6_x16_x176,4
x87_x281_x250,2
x22_x4_x47,4
x106_x78_x76,4
x64_x69_x65,4
x54_x17_x18,4
x14_x23_x24,2
x179_x321_x536,4
x69_x22_x6,4
x316_x13_x19,4
x2_x21_x68,4
x174_x2_x3,3
x66_x31_x161,4
x85_x237_x17,4
x27_x28_x6,4
x104_x29_x10,4
x137_x143_x74,4
x64_x104_x29,4
x175_x173_x37,4
x9_x105_x96,4
x258_x7_x16,4
x192_x1_x29,4
x248_x249_x13,4
x13_x247_x248,4
x7_x30_x24,4
x226_x24_x25,4
x84_x299_x300,4
x24_x103_x20,3
x208_x181_x142,4
x600_x605_x189,4
x29_x11_x21,4
x3_x4_x137,4
x6_x7_x247,4
x14_x113_x106,2
x95_x96_x48,4
x252_x244_x43,4
x31_x125_x183,4
x11_x1_x136,4
x11_x21_x70,4
x6_x7_x19,4
x13_x247_x257,4
x169_x253_x6,4
x52_x181_x198,4
x20_x64_x20,4
x6_x30_x207,4
x286_x156_x319,2
x11_x33_x78,4
x14_x183_x52,4
x10_x35_x331,4
x136_x113_x227,4
x33_x593_x156,4
x31_x153_x146,4
x38_x79_x167,4
x168_x75_x253,4
x424_x345_x258,4
x23_x24_x101,4
x38_x100_x505,4
x36_x37_x8,4
x8_x83_x59,4
x7_x8_x179,4
x62_x197_x96,4
x13_x16_x31,4
x11_x42_x242,4
x20_x64_x69,4
x225_x18_x8,4
x36_x37_x16,4
x138_x164_x313,3
x138_x167_x10,4
x168_x186_x192,4
x180_x189_x180,4
x52_x53_x25,4
x153_x154_x163,4
x64_x69_x22,4
x62_x63_x15,4
x82_x95_x169,4
x154_x163_x163,4
x76_x22_x4,4
x9_x105_x154,4
x136_x13_x8,4
x5_x1_x2,4
x32_x10_x11,4
x10_x10_x55,4
x2_x33_x250,4
x56_x219_x20,4
x3_x305_x248,4
x4_x47_x36,4
x163_x163_x158,4
