x_ngram,file_count
x65_x22_x4,826
x16_x52_x53,435
x26_x114_x25,444
x10_x10_x10,1402
x8_x14_x15,1234
x13_x7_x8,1261
x16_x17_x122,447
x15_x5_x1,714
x13_x8_x14,1171
x158_x73_x72,418
x11_x3_x6,1440
x11_x42_x43,1273
x64_x69_x65,420
x167_x11_x3,508
x15_x9_x10,1222
x174_x2_x3,495
x59_x174_x2,651
x7_x30_x24,1061
x7_x7_x7,1510
x57_x8_x9,519
x20_x64_x20,556
x12_x13_x7,1415
x10_x11_x3,1413
x8_x5_x3,1341
x36_x37_x8,803
x14_x15_x5,1006
x52_x53_x25,421
x9_x12_x13,1261
x136_x13_x8,448
x9_x10_x12,1233
x13_x8_x9,1239
x4_x5_x3,1290
x4_x14_x13,1014
x37_x8_x47,522
x5_x42_x43,1125
x59_x97_x65,550
x7_x8_x9,1502
x10_x10_x11,1383
x4_x5_x21,931
x5_x3_x4,1136
x56_x57_x8,627
x4_x14_x15,881
x64_x20_x64,511
x56_x82_x5,437
x1_x136_x13,589
x46_x37_x7,775
x13_x8_x5,869
x9_x10_x55,1169
x191_x17_x18,582
x62_x167_x12,487
x42_x43_x37,1276
x55_x59_x88,889
x62_x63_x13,606
x14_x15_x137,449
x13_x8_x47,508
x12_x15_x9,1197
x9_x10_x10,1463
x8_x9_x55,933
x1_x2_x1,971
x59_x88_x43,912
x52_x73_x124,636
x43_x37_x7,1413
x16_x17_x18,1152
x7_x45_x46,612
x10_x10_x12,1399
x1_x29_x12,423
x20_x6_x7,1011
x3_x66_x176,397
x8_x9_x12,1288
x12_x15_x14,1149
x52_x203_x167,544
x8_x9_x11,1437
x167_x10_x10,1094
x22_x4_x9,649
x7_x7_x84,886
x53_x25_x7,662
x22_x6_x8,1139
x6_x7_x7,1471
x3_x4_x5,1313
x7_x16_x52,991
x8_x14_x13,1475
x55_x56_x57,836
x125_x15_x14,549
x14_x13_x16,764
x1_x2_x3,1127
x4_x5_x42,740
x14_x13_x7,1373
x10_x11_x42,1170
x56_x82_x14,491
x18_x30_x24,499
x14_x15_x14,1173
x8_x9_x10,1489
x7_x16_x17,1163
x14_x183_x31,603
x136_x13_x7,674
x36_x37_x7,1139
x2_x21_x65,677
x47_x36_x37,994
x55_x59_x97,793
x31_x125_x15,735
x57_x8_x14,460
x6_x8_x9,1357
x183_x31_x32,666
x11_x21_x65,1020
x15_x14_x183,604
x8_x14_x23,465
x14_x15_x9,1141
x2_x1_x2,968
x82_x14_x13,595
x59_x60_x4,860
x13_x7_x7,1474
x6_x7_x8,1384
x35_x36_x37,1059
x3_x6_x8,1347
x9_x11_x3,1404
x9_x11_x21,1053
x8_x5_x42,975
x5_x21_x65,901
x15_x5_x21,590
x8_x47_x36,904
x60_x6_x7,1213
x21_x65_x22,996
x7_x7_x8,1513
x13_x30_x62,571
x65_x22_x64,416
x65_x22_x6,1130
x5_x3_x6,1395
x125_x13_x8,541
x7_x7_x16,1397
x9_x12_x15,1204
x17_x18_x7,1145
x21_x65_x65,945
x15_x14_x13,1178
x8_x137_x138,598
x30_x62_x63,656
x192_x3_x6,787
x10_x35_x36,963
x183_x176_x186,388
x37_x7_x8,1161
x15_x5_x3,1035
x24_x25_x7,1009
x183_x17_x170,485
x10_x11_x1,1178
x88_x43_x37,1060
x65_x65_x58,448
x3_x6_x7,1453
x7_x8_x5,1351
x37_x7_x7,1473
x3_x6_x30,570
x7_x16_x31,1321
x14_x13_x30,680
x32_x10_x12,634
x16_x17_x191,761
x11_x3_x4,1326
x30_x24_x25,1018
x55_x59_x174,729
x7_x8_x14,1458
x13_x7_x16,866
x3_x4_x14,985
x60_x4_x9,661
x65_x65_x65,947
x14_x13_x8,1258
x31_x125_x13,936
x10_x12_x15,1202
x10_x12_x13,1433
x15_x14_x23,487
x7_x7_x45,632
x12_x13_x8,1240
x9_x10_x11,1385
x37_x8_x14,801
x10_x10_x35,929
x7_x8_x83,990
x60_x4_x14,547
x10_x55_x56,843
x21_x58_x2,587
x18_x7_x7,1461
