x_ngram,file_count
x160_x152_x124,2034
x124_x161_x138,2034
x78_x76_x22,44
x6_x7_x30,771
x7_x16_x31,2233
x143_x74_x158,2034
x65_x22_x6,1895
x140_x162_x151,2034
x11_x21_x65,1386
x162_x151_x152,2034
x161_x138_x167,2039
x152_x124_x153,2034
x155_x156_x157,2034
x78_x76_x68,33
x74_x163_x158,2063
x74_x158_x73,2071
x164_x165_x152,2034
x124_x161_x143,2034
x65_x68_x168,63
x105_x169_x76,17
x16_x31_x125,2147
x58_x29_x105,27
x63_x15_x9,468
x153_x154_x155,2034
x166_x160_x152,2034
x9_x10_x35,1012
x4_x9_x11,863
x74_x186_x161,210
x52_x73_x72,381
x201_x151_x202,206
x9_x105_x146,381
x53_x25_x8,234
x199_x199_x198,485
x37_x84_x87,206
x4_x5_x1,1182
x121_x18_x8,531
x14_x15_x14,1240
x105_x208_x181,223
x187_x173_x37,212
x158_x203_x167,785
x177_x10_x55,206
x191_x17_x191,354
x4_x95_x154,216
x155_x156_x177,208
x10_x105_x146,853
x196_x60_x6,240
x5_x1_x29,428
x199_x142_x54,230
x163_x163_x195,206
x163_x186_x32,1047
x143_x72_x181,218
x199_x198_x72,695
x60_x66_x31,214
x73_x72_x181,516
x42_x43_x49,348
x14_x183_x17,793
x43_x37_x84,213
x186_x32_x12,442
x121_x170_x95,395
x43_x49_x5,393
x194_x60_x6,206
x125_x13_x7,560
x43_x49_x95,212
x176_x121_x18,815
x14_x183_x31,793
x176_x186_x153,216
x202_x199_x199,206
x95_x159_x184,213
x6_x16_x176,478
x60_x6_x30,313
x95_x146_x178,207
x25_x8_x83,206
x146_x153_x154,216
x200_x194_x60,206
x199_x200_x194,206
x17_x170_x14,298
x181_x182_x167,481
x181_x198_x72,512
x53_x101_x95,210
x72_x181_x198,441
x105_x146_x32,403
x143_x74_x186,211
x10_x105_x96,249
x161_x114_x25,211
x137_x143_x74,261
x11_x3_x66,907
x173_x49_x95,212
x95_x96_x170,928
x26_x143_x72,210
x175_x173_x37,412
x59_x174_x2,1094
x95_x154_x186,489
x158_x205_x194,206
x9_x105_x96,435
x155_x184_x188,213
x177_x105_x146,208
x24_x25_x84,206
x30_x24_x206,646
x198_x74_x158,424
x10_x55_x175,406
x96_x171_x85,212
x13_x8_x83,314
x74_x158_x203,631
x140_x142_x54,215
x74_x163_x121,333
x183_x31_x32,941
x12_x183_x176,273
x31_x32_x10,1113
x82_x5_x3,513
x17_x122_x62,350
x59_x97_x22,875
x15_x14_x183,395
x57_x7_x7,438
x49_x95_x159,212
x95_x154_x163,277
x31_x153_x146,398
x95_x208_x53,208
x10_x11_x3,2016
x25_x30_x24,257
x26_x143_x124,215
x176_x163_x163,1074
x196_x60_x66,212
x131_x170_x14,212
x73_x72_x205,206
x59_x60_x4,1316
x163_x158_x181,495
x180_x177_x105,208
x36_x37_x8,1414
x8_x83_x59,713
x206_x207_x199,321
x7_x8_x179,238
x170_x179_x180,263
x12_x89_x87,215
x178_x59_x60,210
x180_x189_x180,272
x60_x6_x8,1118
x186_x153_x146,221
x203_x167_x12,213
x154_x163_x163,307
x72_x73_x72,500
x176_x163_x155,208
x208_x73_x72,213
x5_x1_x2,1347
x154_x121_x170,388
x6_x7_x8,1796
x96_x18_x8,237
x153_x146_x32,348
x84_x87_x60,652
x186_x192_x3,616
x88_x43_x49,220
x177_x10_x10,285
x211_x212_x36,390
x4_x14_x13,1216
x207_x199_x199,585
x184_x188_x57,211
x74_x186_x192,207
x163_x163_x158,920
x189_x180_x177,266
x87_x88_x43,221
x105_x154_x186,355
x96_x170_x14,393
x171_x85_x57,201
x192_x3_x66,652
x56_x57_x7,439
x15_x95_x209,206
x49_x9_x105,213
x163_x158_x205,206
x158_x201_x151,207
x170_x14_x13,412
x173_x37_x7,413
x10_x105_x154,360
x17_x191_x31,233
x199_x198_x74,322
x186_x161_x138,328
x84_x87_x88,220
x56_x82_x95,201
x163_x155_x184,213
x54_x52_x53,222
x49_x14_x13,325
