x_ngram,file_count
x83_x59_x97,579
x8_x14_x13,1475
x11_x3_x6,1440
x14_x13_x30,680
x62_x63_x13,606
x30_x62_x63,656
x63_x13_x7,785
x11_x33_x78,499
x7_x8_x14,1458
x43_x37_x7,1413
x6_x7_x7,1471
x15_x95_x96,647
x29_x10_x10,1000
x3_x6_x7,1453
x10_x11_x33,865
x7_x8_x5,1351
x9_x11_x3,1404
x11_x1_x29,1150
x8_x5_x42,975
x37_x7_x7,1473
x7_x7_x8,1513
x10_x11_x1,1178
x8_x9_x10,1489
x7_x8_x83,990
x13_x30_x62,571
x9_x10_x10,1463
x95_x96_x18,858
x7_x7_x7,1510
x8_x83_x59,996
x1_x29_x10,1052
x7_x8_x9,1502
x13_x7_x7,1474
x8_x9_x11,1437
x96_x18_x7,1069
x18_x7_x7,1461
x5_x42_x43,1125
x68_x78_x76,664
x10_x10_x11,1383
x42_x43_x37,1276
x29_x12_x15,493
x12_x15_x95,638
x9_x10_x35,810
x8_x9_x35,868
x10_x11_x42,1170
x56_x82_x14,491
x9_x105_x146,960
x2_x3_x6,1127
x207_x199_x142,464
x65_x22_x4,826
x182_x63_x13,445
x16_x52_x53,435
x26_x114_x25,444
x18_x30_x24,499
x240_x214_x6,505
x121_x18_x8,711
x14_x15_x14,1173
x10_x10_x10,1402
x8_x14_x15,1234
x13_x7_x8,1261
x121_x18_x7,1151
x158_x203_x167,884
x17_x18_x30,644
x10_x105_x146,664
x76_x22_x6,720
x13_x8_x14,1171
x146_x125_x13,435
x163_x186_x32,1065
x22_x6_x7,1346
x183_x176_x163,615
x11_x42_x43,1273
x37_x16_x17,399
x9_x55_x175,471
x10_x10_x26,395
x42_x43_x49,899
x7_x16_x17,1163
x14_x183_x17,671
x186_x32_x12,599
x10_x55_x211,393
x13_x8_x95,518
x15_x9_x55,608
x43_x49_x5,814
x12_x15_x47,426
x125_x13_x7,974
x14_x183_x31,603
x176_x121_x18,894
x7_x19_x227,407
x4_x9_x10,1031
x121_x18_x16,646
x15_x14_x15,1072
x59_x174_x29,640
x64_x69_x65,420
x17_x191_x176,498
x30_x207_x199,917
x54_x17_x18,506
x167_x10_x12,630
x17_x170_x14,800
x69_x22_x6,730
x16_x52_x181,407
x15_x9_x10,1222
x146_x32_x11,487
x105_x146_x32,835
x59_x97_x239,389
x36_x37_x7,1139
x3_x64_x20,740
x30_x207_x198,462
x2_x21_x65,677
x10_x105_x96,792
x104_x29_x10,460
x11_x3_x66,900
x95_x96_x170,746
x175_x173_x37,661
x59_x174_x2,651
x47_x36_x37,994
x95_x154_x186,442
x9_x105_x96,757
x20_x6_x19,683
x55_x59_x97,793
x31_x125_x15,735
x57_x8_x14,460
x64_x20_x4,687
x14_x113_x20,508
x6_x8_x9,1357
x12_x13_x16,1009
x30_x24_x206,716
x7_x30_x24,1061
x10_x55_x175,648
x9_x12_x23,394
x13_x8_x83,612
x11_x1_x136,542
x6_x16_x17,637
x31_x32_x10,1339
x6_x7_x19,610
x82_x5_x3,392
x57_x8_x9,519
x13_x16_x176,504
x11_x21_x65,1020
x20_x64_x20,556
x64_x20_x6,830
x158_x53_x25,430
x59_x97_x22,770
x57_x7_x7,844
x15_x14_x183,604
x14_x15_x9,1141
