x_ngram,file_count
x121_x18_x7,13
x17_x18_x30,11
x131_x18_x7,13
x167_x10_x12,13
x95_x96_x170,11
x12_x13_x16,12
x31_x32_x10,21
x138_x167_x10,13
x17_x18_x16,11
x30_x24_x101,15
x6_x7_x16,14
x96_x18_x7,19
x32_x10_x10,14
x16_x17_x170,15
x7_x8_x137,18
x32_x12_x13,14
x7_x16_x176,20
x186_x32_x10,14
x30_x207_x142,11
x176_x186_x32,12
x114_x25_x7,15
x123_x124_x32,13
x62_x167_x10,15
x7_x8_x95,21
x124_x32_x10,16
x101_x9_x10,11
x16_x31_x32,25
x16_x52_x203,12
x8_x14_x183,15
x7_x30_x207,15
x203_x167_x10,14
x8_x95_x96,14
x25_x7_x8,14
x15_x14_x15,19
x10_x105_x96,12
x105_x96_x18,14
x15_x9_x12,14
x25_x7_x7,27
x30_x62_x167,19
x24_x101_x9,11
x8_x95_x146,11
x96_x170_x9,12
x17_x191_x17,13
x95_x146_x32,14
x170_x9_x10,13
x16_x176_x186,14
x7_x7_x30,28
x14_x15_x95,12
x7_x30_x123,16
x31_x32_x12,12
x7_x30_x62,19
x8_x137_x114,12
x30_x123_x131,12
x18_x7_x8,16
x13_x7_x30,14
