x_ngram,file_count
x100_x25_x7,432
x101_x14_x13,394
x101_x9_x10,832
x101_x9_x12,498
x104_x29_x10,460
x105_x146_x125,391
x105_x146_x192,673
x105_x146_x32,835
x105_x154_x121,464
x105_x154_x163,545
x105_x154_x186,581
x105_x208_x203,391
x105_x96_x170,585
x105_x96_x18,992
x10_x105_x146,664
x10_x105_x154,535
x10_x105_x96,792
x10_x10_x105,765
x10_x10_x26,395
x10_x11_x21,1194
x10_x11_x33,865
x10_x11_x38,653
x10_x12_x113,564
x10_x12_x183,534
x10_x12_x89,429
x10_x55_x175,648
x10_x55_x211,393
x10_x55_x224,435
x113_x104_x2,408
x113_x20_x6,611
x114_x101_x9,414
x114_x25_x7,773
x11_x1_x29,1150
x11_x21_x22,1197
x11_x21_x239,675
x11_x21_x58,688
x11_x21_x68,387
x11_x33_x168,484
x11_x33_x250,699
x11_x33_x34,662
x11_x33_x78,499
x11_x38_x100,427
x11_x38_x39,523
x11_x3_x61,620
x11_x3_x64,766
x11_x3_x66,900
x11_x42_x240,487
x11_x42_x274,468
x121_x170_x14,689
x121_x170_x9,706
x121_x18_x16,646
x121_x18_x7,1151
x121_x18_x8,711
x121_x191_x176,441
x121_x191_x31,463
x123_x124_x32,692
x123_x131_x18,587
x123_x72_x73,426
x123_x74_x158,458
x124_x32_x10,947
x125_x13_x7,974
x125_x15_x9,696
x12_x113_x20,553
x12_x13_x16,1009
x12_x13_x19,535
x12_x13_x30,509
x12_x15_x47,426
x12_x15_x95,638
x12_x183_x17,523
x12_x183_x31,622
x12_x89_x87,640
x131_x170_x9,413
x131_x18_x7,849
x136_x15_x14,425
x136_x15_x9,478
x137_x114_x25,619
x137_x138_x80,396
x137_x140_x199,408
x138_x139_x114,483
x138_x139_x138,519
x139_x114_x25,513
x139_x138_x139,523
x13_x16_x17,731
x13_x16_x176,504
x13_x16_x31,1016
x13_x19_x20,443
x13_x30_x24,539
x13_x7_x19,471
x13_x7_x30,750
x13_x7_x84,395
x13_x8_x83,612
x13_x8_x95,518
x140_x199_x199,416
x142_x101_x9,588
x142_x25_x7,839
x142_x25_x8,444
x146_x125_x13,435
x146_x153_x154,413
x146_x178_x59,467
x146_x192_x1,460
x146_x32_x10,880
x146_x32_x11,487
x146_x32_x12,598
x14_x113_x20,508
x14_x13_x19,447
x14_x15_x47,487
x14_x15_x83,560
x14_x15_x95,724
x14_x183_x17,671
x14_x183_x176,660
x14_x23_x24,508
x153_x154_x163,501
x154_x121_x170,409
x154_x121_x18,593
x154_x158_x73,388
x154_x163_x121,629
x154_x163_x163,628
x154_x163_x186,446
x154_x186_x32,657
x158_x181_x182,651
x158_x181_x198,391
x158_x181_x199,600
x158_x203_x167,884
x158_x53_x25,430
