x_ngram,file_count
x9_x26_x114,38
x102_x100_x103,8
x138_x139_x140,54
x105_x96_x18,113
x29_x105_x96,11
x19_x106_x78,18
x112_x113_x104,3
x123_x124_x125,55
x120_x121_x122,3
x64_x102_x100,8
x116_x117_x118,10
x114_x115_x116,13
x135_x104_x136,7
x15_x9_x12,158
x76_x107_x108,2
x134_x116_x135,3
x103_x104_x2,5
x132_x133_x12,16
x108_x109_x110,2
x131_x18_x7,142
x7_x45_x126,2
x26_x114_x101,32
x24_x101_x137,33
x7_x19_x106,19
x104_x98_x114,5
x125_x13_x7,157
x109_x110_x111,1
x53_x115_x129,4
x106_x78_x76,6
x18_x7_x8,146
x13_x7_x45,13
x126_x127_x128,1
x96_x18_x7,131
x139_x138_x139,41
x127_x128_x53,1
x121_x122_x123,82
x78_x76_x107,1
x22_x64_x102,8
x98_x114_x115,2
x12_x23_x24,65
x118_x119_x120,5
x118_x132_x133,22
x133_x12_x134,13
x113_x104_x98,3
x137_x138_x139,38
x128_x53_x115,1
x21_x58_x29,37
x104_x136_x15,13
x104_x2_x21,14
x21_x65_x22,225
x114_x101_x118,9
x9_x12_x23,54
x116_x135_x104,2
x136_x15_x9,29
x101_x118_x132,12
x115_x129_x130,5
x130_x131_x18,3
x65_x22_x64,62
x18_x7_x19,15
x107_x108_x109,6
x110_x111_x112,3
x119_x120_x121,3
x15_x9_x26,34
x115_x116_x117,11
x45_x126_x127,1
x117_x118_x119,10
x12_x134_x116,20
x100_x103_x104,3
x122_x123_x124,45
x124_x125_x13,60
x14_x15_x9,186
x111_x112_x113,3
x101_x137_x138,23
x129_x130_x131,8
x23_x24_x101,42
x138_x139_x138,40
x58_x29_x105,14
x2_x21_x58,26
x258_x7_x7,230
x67_x41_x65,9
x95_x146_x32,50
x72_x67_x41,2
x65_x107_x246,29
x23_x123_x124,29
x96_x18_x8,86
x107_x246_x259,2
x41_x65_x65,36
x65_x65_x65,134
x257_x258_x7,226
x262_x263_x117,9
x191_x17_x18,143
x65_x65_x70,35
x247_x257_x258,229
x153_x96_x18,51
x153_x96_x191,19
x32_x10_x105,34
x261_x72_x67,1
x260_x261_x124,4
x137_x27_x235,1
x17_x18_x8,167
x7_x247_x257,233
x21_x65_x107,101
x246_x259_x17,3
x257_x258_x8,189
x7_x7_x247,254
x259_x17_x18,8
x18_x8_x14,95
x10_x105_x96,100
x146_x32_x10,86
x18_x45_x260,3
x96_x191_x176,19
x18_x8_x95,49
x6_x7_x247,179
x263_x117_x137,10
x8_x95_x146,74
x17_x18_x45,7
x258_x8_x5,171
x14_x23_x123,32
x176_x262_x263,5
x235_x264_x261,1
x105_x96_x191,31
x45_x260_x261,2
x8_x14_x23,58
x27_x235_x264,1
x191_x176_x262,9
x124_x153_x96,21
x261_x124_x153,2
x123_x124_x153,24
x117_x137_x27,1
x264_x261_x72,1
x96_x191_x17,35
x65_x70_x81,32
x341_x116_x117,3
x3_x290_x260,3
x179_x313_x341,3
x268_x340_x198,4
x80_x3_x6,169
x20_x6_x7,172
x30_x207_x142,157
x158_x53_x206,72
x80_x21_x68,8
x17_x18_x16,169
x18_x30_x24,122
x38_x339_x268,6
x176_x121_x122,86
x6_x7_x8,282
x338_x25_x7,12
x62_x80_x21,22
x260_x338_x25,9
x24_x54_x176,93
x66_x52_x73,40
x3_x6_x8,253
x53_x206_x207,51
x7_x30_x207,200
x192_x3_x64,24
x16_x176_x158,206
x30_x24_x54,123
x25_x7_x7,213
x313_x341_x116,1
x121_x191_x176,102
x30_x24_x101,132
x206_x207_x182,33
x340_x198_x131,8
x192_x3_x290,3
x339_x268_x340,1
x121_x122_x62,36
x123_x124_x192,90
x73_x124_x192,50
x207_x198_x74,68
x24_x206_x207,74
x6_x30_x62,58
x8_x5_x38,26
x186_x125_x13,61
x30_x62_x80,122
x182_x80_x3,96
x207_x182_x80,59
x6_x7_x16,210
x54_x17_x18,107
x191_x176_x186,54
x181_x182_x80,45
x24_x101_x179,2
x52_x181_x182,50
x13_x7_x30,110
x124_x192_x3,120
x21_x68_x34,10
x198_x131_x18,83
x16_x52_x181,117
x142_x206_x207,90
x24_x54_x17,110
x3_x64_x20,107
x68_x34_x170,15
x80_x3_x66,51
x5_x38_x339,5
x198_x74_x121,68
x24_x101_x5,94
x6_x8_x5,156
x206_x207_x198,44
x30_x24_x206,134
x7_x30_x24,259
x207_x142_x206,63
x3_x6_x30,158
x52_x73_x124,75
x6_x7_x30,135
x62_x80_x3,171
x18_x16_x52,91
x13_x16_x176,91
x54_x176_x121,78
x170_x5_x3,193
x64_x20_x6,92
x16_x176_x121,242
x131_x18_x30,100
x290_x260_x338,2
x122_x62_x80,48
x176_x186_x125,71
x207_x198_x131,85
x7_x16_x176,294
x116_x117_x47,2
x101_x179_x313,3
x18_x7_x30,113
x34_x170_x5,38
x176_x158_x53,100
x74_x121_x191,68
x3_x66_x52,87
x30_x24_x25,261
x192_x3_x6,218
x3_x61_x24,101
x72_x73_x72,66
x73_x74_x163,110
x18_x30_x123,94
x121_x170_x137,25
x66_x52_x53,28
x24_x25_x16,142
x191_x17_x191,86
x53_x206_x123,64
x17_x18_x30,128
x3_x6_x16,194
x5_x3_x64,82
x30_x123_x131,166
x176_x121_x170,91
x25_x16_x52,76
x74_x121_x122,64
x176_x121_x18,208
x198_x72_x73,60
x72_x53_x25,71
x24_x206_x24,110
x80_x3_x4,143
x17_x191_x176,140
x73_x72_x73,81
x61_x24_x101,23
x53_x25_x30,77
x72_x73_x74,76
x31_x192_x3,190
x53_x54_x17,75
x181_x198_x72,64
x72_x181_x198,71
x22_x4_x5,116
x143_x74_x121,23
x30_x207_x198,109
x137_x143_x74,35
x206_x123_x72,45
x7_x16_x52,216
x158_x73_x74,126
x206_x123_x74,55
x21_x22_x4,116
x61_x24_x206,33
x198_x72_x181,75
x123_x72_x73,87
x5_x3_x66,159
x181_x142_x206,58
x170_x137_x143,22
x52_x53_x54,83
x163_x158_x53,104
x72_x181_x142,75
x74_x163_x121,67
x5_x3_x61,138
x16_x52_x73,155
x52_x73_x131,90
x207_x198_x72,63
x25_x30_x207,77
x6_x16_x17,119
x7_x16_x31,259
x121_x18_x30,74
x131_x191_x17,81
x163_x121_x18,136
x16_x31_x192,135
x30_x207_x182,102
x74_x163_x158,80
x16_x17_x191,208
x16_x17_x18,292
x74_x158_x73,94
x73_x131_x18,122
x17_x18_x7,274
x73_x72_x53,60
x191_x176_x121,99
x5_x21_x22,151
x206_x24_x25,101
x18_x30_x207,84
x123_x74_x158,88
