x_ngram,file_count
x14_x15_x5,900
x7_x8_x14,1016
x5_x38_x100,535
x8_x14_x15,658
x3_x4_x14,922
x13_x8_x5,448
x4_x5_x3,1075
x14_x13_x8,549
x101_x5_x3,640
x5_x42_x43,836
x42_x43_x37,826
x8_x5_x42,807
x5_x21_x65,757
x6_x7_x7,1130
x3_x4_x5,1089
x5_x3_x4,1060
x3_x6_x7,1116
x7_x8_x5,1034
x38_x100_x101,497
x8_x5_x21,404
x37_x7_x7,834
x7_x7_x8,1099
x7_x7_x7,1113
x4_x14_x15,853
x8_x14_x13,625
x15_x5_x38,519
x5_x3_x6,1097
x43_x37_x7,826
x8_x5_x3,1059
x100_x101_x5,494
x15_x5_x3,667
x4_x5_x21,499
x7_x7_x30,311
x7_x16_x17,309
x7_x7_x16,351
x8_x9_x10,312
x7_x8_x9,311
x13_x7_x7,322
x14_x13_x7,311
