x_ngram,file_count
x25_x7_x7,242
x30_x62_x63,621
x15_x5_x38,59
x62_x63_x15,429
x100_x25_x7,281
x5_x38_x100,57
x38_x100_x25,302
x63_x15_x9,269
x15_x9_x10,342
x23_x123_x74,98
x14_x23_x123,117
x123_x74_x186,72
x9_x12_x13,349
x12_x15_x9,622
x9_x10_x12,24
x8_x9_x12,345
x11_x3_x4,620
x9_x12_x15,616
x3_x4_x14,636
x125_x15_x9,87
x74_x186_x125,98
x186_x125_x15,87
x12_x15_x14,604
x9_x10_x10,281
x4_x14_x13,387
x15_x9_x12,605
x10_x11_x21,36
x4_x14_x23,21
x10_x10_x11,281
x5_x38_x39,21
x142_x25_x7,50
x8_x5_x38,20
x25_x7_x8,77
x39_x142_x25,50
x38_x39_x142,50
x3_x64_x20,362
x64_x20_x6,362
x30_x207_x182,39
x80_x3_x6,234
x20_x6_x7,474
x182_x80_x3,38
x207_x182_x80,39
x5_x3_x64,90
x7_x30_x207,123
x136_x15_x14,427
x25_x8_x9,426
x30_x24_x25,385
x24_x25_x8,386
x6_x30_x24,72
x1_x136_x15,383
x7_x8_x5,561
x136_x15_x9,299
x3_x6_x30,217
x29_x10_x12,629
x24_x101_x9,561
x101_x9_x11,559
x5_x1_x29,663
x6_x7_x19,82
x3_x6_x19,82
x136_x113_x104,82
x64_x104_x136,82
x3_x64_x104,82
x98_x138_x63,36
x104_x98_x138,43
x104_x29_x10,82
x104_x136_x113,81
x104_x2_x1,80
x63_x13_x19,18
x8_x14_x113,82
x6_x8_x5,47
x104_x29_x11,82
x19_x104_x136,82
x104_x136_x13,82
x113_x104_x29,82
x12_x113_x104,82
x7_x19_x104,82
x104_x136_x15,74
x1_x29_x11,82
x29_x12_x113,82
x13_x19_x104,82
x11_x3_x64,355
x6_x19_x104,82
x12_x13_x19,82
x2_x1_x29,82
x8_x5_x1,659
x113_x104_x136,82
x29_x10_x11,82
x104_x29_x12,82
x1_x136_x113,80
x29_x11_x38,44
x138_x63_x13,24
x15_x14_x113,293
x14_x13_x19,82
x113_x104_x2,80
x19_x104_x29,82
x14_x113_x104,82
x11_x38_x100,245
x19_x104_x98,43
x29_x11_x3,82
x62_x167_x11,189
x30_x62_x167,264
x167_x11_x3,158
x6_x7_x30,691
x6_x30_x62,130
x63_x15_x5,174
x163_x163_x186,49
x7_x8_x137,159
x137_x143_x74,111
x143_x74_x163,28
x74_x163_x163,54
x163_x186_x125,31
x4_x14_x15,434
x8_x137_x143,128
x3_x4_x5,77
x4_x5_x3,77
x1_x2_x1,80
x10_x11_x38,68
x25_x7_x19,13
x63_x113_x104,31
x136_x23_x62,39
x7_x7_x19,54
x5_x1_x2,80
x23_x62_x63,24
x62_x63_x113,13
x104_x136_x23,39
x207_x142_x101,79
x30_x207_x142,104
x101_x5_x3,175
x142_x101_x5,33
x4_x9_x12,44
x23_x123_x131,7
x8_x14_x23,137
x123_x131_x170,7
x131_x170_x9,13
x170_x9_x11,10
x3_x4_x9,57
x143_x74_x186,83
x9_x11_x344,1
x11_x344_x408,1
x62_x80_x1,136
x136_x15_x5,54
x100_x25_x19,19
x29_x12_x15,77
x80_x1_x29,60
x23_x62_x80,19
x25_x19_x104,19
x123_x74_x163,26
x163_x186_x32,18
x186_x32_x11,2
x32_x11_x3,13
x80_x1_x136,75
x10_x10_x12,503
x29_x10_x10,502
x10_x10_x10,414
x10_x11_x1,427
x30_x62_x80,322
x13_x7_x30,191
x62_x63_x13,203
x63_x13_x8,209
x167_x11_x1,29
x138_x63_x113,18
x5_x3_x4,133
x14_x113_x20,238
x113_x20_x6,238
x20_x6_x8,152
x62_x80_x3,197
x125_x13_x8,42
x186_x125_x13,42
x6_x8_x137,19
x24_x101_x5,229
x9_x11_x38,165
x167_x12_x13,28
x62_x167_x12,76
x3_x61_x24,2
x253_x6_x7,4
x61_x24_x101,1
x5_x3_x61,1
x7_x19_x20,30
x19_x20_x6,30
x137_x114_x101,16
x114_x101_x9,23
x8_x137_x114,27
x101_x9_x10,90
x23_x123_x124,12
x124_x32_x11,12
x123_x124_x32,12
x136_x13_x30,37
x13_x30_x24,57
x32_x10_x11,46
x74_x186_x32,57
x186_x32_x10,51
x137_x143_x131,17
x143_x131_x170,6
x170_x9_x10,10
x10_x12_x15,8
x142_x101_x9,46
x14_x23_x62,35
x23_x62_x167,29
x4_x9_x11,13
x62_x139_x114,15
x139_x114_x101,11
x30_x62_x139,19
x101_x5_x1,88
x62_x167_x10,28
x167_x10_x11,28
x98_x138_x167,7
x167_x12_x113,5
x138_x167_x12,10
x32_x10_x10,5
x10_x11_x352,3
x12_x15_x5,27
x167_x12_x15,53
x142_x25_x8,25
x207_x142_x25,25
x137_x138_x63,20
x8_x137_x138,24
x12_x13_x30,24
x32_x12_x13,8
x186_x32_x12,22
x138_x63_x15,14
x6_x30_x207,19
x114_x25_x8,15
x137_x114_x25,11
x14_x13_x30,19
x13_x30_x62,24
x163_x121_x18,2
x121_x18_x8,1
x163_x163_x121,6
x18_x8_x9,12
x387_x457_x6,1
x457_x6_x7,5
x31_x32_x10,32
x56_x57_x7,32
x10_x55_x59,32
x55_x59_x60,32
x10_x55_x56,32
x57_x7_x7,32
x55_x56_x57,32
x32_x10_x55,32
x60_x6_x7,32
x497_x136_x13,1
x7_x7_x16,32
x546_x497_x136,1
x9_x10_x55,32
x59_x60_x6,32
x16_x31_x32,32
x7_x16_x31,32
x136_x134_x116,1
x1_x136_x134,1
x141_x84_x87,1
x116_x141_x84,1
x134_x116_x141,1
x4_x14_x113,17
x22_x6_x7,7
x302_x78_x430,1
x467_x457_x6,2
x78_x430_x467,1
x302_x78_x302,1
x169_x302_x78,1
x95_x169_x302,1
x78_x302_x78,1
x430_x467_x457,2
x52_x67_x41,1
x168_x163_x163,1
x68_x168_x163,1
x75_x253_x66,1
x66_x52_x67,1
x67_x41_x22,1
x253_x66_x52,1
x465_x68_x168,1
x163_x75_x253,1
x163_x163_x75,2
x41_x22_x6,1
x34_x18_x7,2
x115_x488_x388,1
x388_x34_x18,1
x488_x388_x34,1
x122_x24_x115,1
x18_x7_x7,7
x24_x115_x488,1
x315_x96_x18,1
