x_ngram,file_count
x8_x14_x15,281
x13_x7_x8,269
x13_x8_x14,292
x15_x9_x10,213
x7_x7_x7,346
x12_x13_x7,198
x9_x12_x13,199
x9_x10_x12,190
x13_x8_x9,170
x7_x8_x9,201
x101_x14_x15,120
x62_x167_x12,140
x62_x63_x13,216
x14_x15_x137,121
x12_x15_x9,197
x9_x10_x10,186
x52_x73_x124,179
x16_x17_x18,175
x10_x10_x12,164
x8_x9_x12,210
x12_x15_x14,215
x7_x16_x52,121
x8_x14_x13,337
x125_x15_x14,187
x14_x13_x16,191
x14_x13_x7,359
x14_x15_x14,312
x8_x9_x10,172
x7_x16_x17,165
x14_x183_x31,216
x31_x125_x15,197
x183_x31_x32,141
x15_x14_x183,180
x8_x14_x23,155
x14_x15_x9,239
x13_x7_x7,368
x63_x15_x14,173
x7_x7_x8,339
x13_x30_x62,155
x125_x13_x8,166
x7_x7_x16,218
x9_x12_x15,218
x17_x18_x7,201
x15_x14_x13,307
x8_x137_x138,125
x30_x62_x63,184
x183_x176_x186,124
x183_x17_x170,126
x7_x16_x31,220
x14_x13_x30,176
x7_x8_x14,360
x13_x7_x16,189
x14_x13_x8,286
x31_x125_x13,265
x10_x12_x15,184
x10_x12_x13,151
x15_x14_x23,152
x12_x13_x8,160
x18_x7_x7,241
