x_ngram,file_count
x30_x62_x63,184
x62_x63_x15,177
x7_x30_x62,189
x7_x8_x14,360
x15_x95_x96,136
x9_x12_x13,199
x10_x10_x12,164
x9_x10_x12,190
x14_x15_x14,312
x8_x9_x12,210
x8_x14_x15,281
x13_x8_x9,170
x13_x7_x8,269
x12_x15_x14,215
x15_x9_x12,218
x14_x13_x8,286
x7_x7_x30,221
x23_x62_x167,123
x31_x125_x13,265
x13_x8_x14,292
x62_x167_x12,140
x96_x170_x14,123
x10_x12_x15,184
x14_x23_x62,175
x62_x63_x13,216
x30_x62_x167,132
x15_x14_x23,152
x14_x15_x137,121
x183_x31_x125,235
x125_x13_x7,239
x14_x15_x95,119
x14_x183_x31,216
x12_x15_x9,197
x63_x13_x8,133
x15_x14_x15,272
x9_x10_x10,186
x7_x8_x9,201
x13_x7_x30,176
x15_x9_x10,213
x12_x13_x8,160
x95_x96_x170,130
x62_x167_x10,140
x31_x125_x15,197
x63_x15_x14,173
x32_x12_x15,120
x141_x8_x14,119
x7_x7_x8,339
x13_x30_x62,155
x7_x7_x7,346
x9_x12_x183,136
x16_x31_x32,130
x7_x16_x31,220
x8_x14_x13,337
x14_x13_x30,176
x407_x116_x141,138
x8_x14_x23,155
x14_x15_x9,239
x12_x13_x7,198
x31_x32_x12,149
x23_x62_x63,213
x12_x183_x31,146
x7_x7_x16,218
x170_x14_x15,155
x9_x12_x15,218
x167_x12_x15,126
x125_x15_x14,187
x7_x407_x116,132
x16_x31_x125,242
x13_x7_x7,368
x18_x7_x7,241
x15_x14_x13,307
x14_x13_x7,359
x7_x8_x137,167
x7_x16_x17,165
x183_x176_x186,124
x17_x170_x14,158
x8_x137_x138,125
x170_x14_x13,165
x183_x17_x170,126
x25_x7_x8,119
x7_x8_x95,120
x16_x17_x170,149
x124_x125_x13,130
x13_x16_x17,135
x14_x13_x16,191
x141_x7_x8,134
x13_x7_x16,189
x8_x14_x183,189
x8_x9_x10,172
x10_x12_x13,151
x14_x183_x17,154
x17_x18_x8,131
x18_x8_x14,153
x63_x13_x7,184
x101_x14_x15,120
x16_x17_x18,175
x17_x18_x7,201
x116_x141_x7,133
x183_x52_x73,156
x73_x124_x125,154
x52_x73_x124,179
x207_x182_x63,165
x30_x207_x182,173
x7_x30_x207,167
x16_x52_x73,119
x7_x16_x52,121
x141_x7_x7,141
x15_x14_x183,180
x13_x16_x31,182
x95_x96_x18,121
x96_x18_x7,126
x18_x7_x8,131
x183_x31_x32,141
x125_x13_x8,166
x183_x17_x18,163
